Number	Chapter	Dialog
0	1	2077년 01월 01일
1	1	기계적인 현실과 회색조로 물든 세계
2	1	거대한 건물들이 창문 없는 벽으로 가로막힌 거리
3	1	나는 그 속에서 하루하루를 반복하며 지쳐간다
4	1	그런 내 마음을 모르는지 도시의 네온사인은 눈이 부시게 빛난다
5	1	새해이기 때문일까?
6	1	아니면 갑작스러운 변덕일까?
7	1	그것도 아니라면
8	1	조금이라도 바뀌고싶은 내 소망때문일까?
9	1	오늘은 왜인지?
10	1	골목을 돌아가고 싶어졌다
11	1	평소에 가지않던 길이라 그런지
12	1	낡고 낮선 전단지들이 곳곳에 보인다
13	1	그 중
14	1	이 잿빛 도시와 어울리지않는
15	1	푸른빛의 작은 나무 사진은
16	1	신기하리만큼 눈을 땔 수 없었다
17	1	나무라 . . .
18	1	키우는 시간이 오래걸려
19	1	부자들의 집안 인테리어 소품과 같은 존재다
20	1	나 같은 소시민들이 키우기에는 무리다
21	1	하지만 . . . 
22	1	왠지 저 나무를 보고있으면
23	1	묘한 흥미와 안정감에 휩싸인다
24	1	흠 . . . .
25	1	나무라 . . . .
26	1	.? ? ? ? ? ? . ? ? ? ? ? .
27	1	그러고 보니
28	1	집 근처 잡상인이 올 새해는 식물들을 판다 했던것 같은데 . . .
29	1	.               .              .              .
30	1	. . . 나무는 희귀해 잎만 팔아도 돈이 어느정도 나올텐데 . . .
31	1	.                .                .                .                .
32	1	. . . 몇년정도만 길러볼까?
